"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";3373;2631;2768;0;11924;4135;30131;45.7275;9.7126;288;2168;9762;72;0;337;37;17;37;337;205;"2023-08-01 00:13:08+02"
"AAA00353656109378739";3363;2606;2743;0;11924;4122;30166;45.7275;9.7126;288;2197;9760;72;0;0;21;17;28;0;227;"2023-08-01 00:28:15+02"
"AAA00353656109378739";3359;2587;2756;0;11924;4128;30235;45.7275;9.7127;302;2183;9758;72;0;0;17;18;24;0;174;"2023-08-01 00:43:22+02"
"AAA00353656109378739";3366;2575;2712;0;11858;4135;30235;45.7275;9.7127;302;2179;9758;72;0;0;17;21;28;0;196;"2023-08-01 00:58:28+02"
"AAA00353656109378739";3355;2562;2693;0;11924;4128;30269;45.7275;9.7127;302;2127;9756;72;0;0;15;12;20;0;141;"2023-08-01 01:13:35+02"
"AAA00353656109378739";3357;2543;2681;0;11924;4128;30304;45.7275;9.7127;302;2084;9755;73;0;247;0;10;20;0;137;"2023-08-01 01:28:43+02"
"AAA00353656109378739";3359;2531;2712;0;11924;4128;30338;45.7275;9.7127;302;2072;9751;74;0;0;25;8;25;0;134;"2023-08-01 01:43:41+02"
"AAA00353656109378739";3349;2512;2662;0;11924;4115;30304;45.7275;9.7127;302;2123;9750;75;0;0;14;16;33;0;95;"2023-08-01 01:58:47+02"
"AAA00353656109378739";3355;2500;2637;0;11924;4122;30338;45.7275;9.7127;302;2129;9750;74;0;0;12;12;18;0;96;"2023-08-01 02:13:53+02"
"AAA00353656109378739";3368;2487;2625;0;11924;4128;30373;45.7275;9.7127;302;2117;9747;75;0;292;19;10;24;0;107;"2023-08-01 02:28:59+02"
"AAA00353656109378739";3356;2481;2637;0;11924;4142;30407;45.7275;9.7127;302;2148;9744;75;0;0;20;18;26;0;119;"2023-08-01 02:44:03+02"
"AAA00353656109378739";3350;2468;2606;0;11924;4122;30373;45.7275;9.7127;302;2136;9744;75;0;0;16;9;17;0;110;"2023-08-01 02:59:09+02"
"AAA00353656109378739";3353;2456;2587;0;11924;4128;30407;45.7275;9.7127;302;2159;9740;75;0;0;24;19;28;0;143;"2023-08-01 03:14:16+02"
"AAA00353656109378739";3360;2456;2581;0;11858;4142;30373;45.7275;9.7127;302;2128;9738;75;0;0;24;32;44;0;165;"2023-08-01 03:29:23+02"
"AAA00353656109378739";3352;2456;2600;0;11924;4128;30373;45.7275;9.7127;302;2110;9737;76;0;0;9;26;46;0;142;"2023-08-01 03:44:22+02"
"AAA00353656109378739";3349;2443;2581;0;11924;4128;30442;45.7275;9.7127;302;2057;9740;78;0;202;9;4;9;202;123;"2023-08-01 03:59:27+02"
"AAA00353656109378739";3339;2437;2568;0;11858;4122;30477;45.7275;9.7127;302;2006;9738;80;139;0;8;6;16;0;137;"2023-08-01 04:14:34+02"
"AAA00353656109378739";3353;2431;2562;0;11924;4128;30477;45.7275;9.7127;302;1984;9740;82;307;292;4;10;18;0;158;"2023-08-01 04:29:40+02"
"AAA00353656109378739";3334;2425;2581;0;11924;4122;30477;45.7275;9.7128;305;1979;9735;83;279;337;10;7;13;0;116;"2023-08-01 04:44:42+02"
"AAA00353656109378739";3343;2418;2556;0;11858;4135;30477;45.7275;9.7128;305;1972;9736;84;83;0;6;14;30;0;144;"2023-08-01 04:59:49+02"
"AAA00353656109378739";3332;2412;2543;0;11924;4142;30511;45.7275;9.7128;305;1980;9735;85;0;67;0;2;6;0;136;"2023-08-01 05:14:55+02"
"AAA00353656109378739";3341;2400;2537;0;11924;4128;30580;45.7275;9.7128;305;1981;9734;85;0;0;14;8;23;0;165;"2023-08-01 05:30:01+02"
"AAA00353656109378739";3356;2393;2562;0;11858;4122;30580;45.7275;9.7128;305;1988;9733;86;0;292;10;7;10;292;111;"2023-08-01 05:45:01+02"
"AAA00353656109378739";3351;2387;2531;0;11858;4142;30580;45.7275;9.7128;305;1985;9732;86;0;292;0;2;13;0;57;"2023-08-01 06:00:07+02"
"AAA00353656109378739";3344;2375;2512;0;11924;4115;30615;45.7275;9.7128;305;1985;9732;87;0;292;6;2;8;0;92;"2023-08-01 06:15:13+02"
"AAA00353656109378739";3344;2368;2506;0;11924;4122;30615;45.7275;9.7128;305;1992;9731;87;0;0;24;8;24;0;134;"2023-08-01 06:30:18+02"
"AAA00353656109378739";3347;2362;2518;0;11858;4128;30615;45.7275;9.7128;305;2006;9730;88;0;67;2;12;26;0;162;"2023-08-01 06:45:23+02"
"AAA00353656109378739";3344;2362;2493;0;11793;4135;30615;45.7275;9.7128;305;2017;9728;88;0;0;22;15;24;0;190;"2023-08-01 07:00:30+02"
"AAA00353656109378739";3326;2362;2493;0;11924;4128;30615;45.7275;9.7128;305;2025;9726;89;0;0;14;18;22;0;210;"2023-08-01 07:15:36+02"
"AAA00353656109378739";3347;2362;2487;0;11793;4128;30649;45.7275;9.7128;305;2041;9725;89;0;0;6;8;18;0;231;"2023-08-01 07:30:43+02"
"AAA00353656109378739";3338;2362;2512;0;11924;4128;30718;45.7275;9.7128;305;2052;9725;89;0;0;25;23;52;0;312;"2023-08-01 07:45:45+02"
"AAA00353656109378739";3316;2362;2500;0;11858;4142;30718;45.7275;9.7128;305;2065;9724;89;0;0;15;13;21;0;297;"2023-08-01 08:00:51+02"
"AAA00353656109378739";3323;2368;2500;0;11858;4135;30718;45.7275;9.7128;305;2102;9725;89;0;0;20;22;43;0;275;"2023-08-01 08:15:58+02"
"AAA00353656109378739";3334;2381;2512;0;11858;4142;30718;45.7275;9.7128;305;2157;9724;89;0;0;4;14;24;0;321;"2023-08-01 08:31:04+02"
"AAA00353656109378739";3336;2400;2537;0;11924;4122;30753;45.7276;9.7125;272;2218;9724;89;0;292;0;12;24;0;313;"2023-08-01 08:46:12+02"
"AAA00353656109378739";3341;2412;2537;0;11924;4128;30684;45.7276;9.7125;272;2273;9723;89;0;292;0;7;23;0;427;"2023-08-01 09:01:18+02"
"AAA00353656109378739";3316;2418;2537;0;11924;4128;30684;45.7276;9.7125;272;2285;9723;89;0;292;0;2;8;0;441;"2023-08-01 09:16:24+02"
"AAA00353656109378739";3323;2431;2550;0;11924;4142;30753;45.7276;9.7125;272;2347;9723;90;0;292;0;0;4;0;310;"2023-08-01 09:31:32+02"
"AAA00353656109378739";3311;2443;2587;0;11858;4115;30753;45.7276;9.7125;272;2414;9721;89;0;0;5;4;12;0;365;"2023-08-01 09:46:40+02"
"AAA00353656109378739";3323;2468;2587;0;11924;4122;30753;45.7276;9.7125;272;2596;9720;90;0;202;4;3;9;0;522;"2023-08-01 10:01:46+02"
"AAA00353656109378739";3323;2500;2612;0;11924;4128;30753;45.7276;9.7125;272;2951;9720;89;0;337;10;4;12;0;651;"2023-08-01 10:16:53+02"
"AAA00353656109378739";3315;2537;2650;0;11924;4128;30787;45.7276;9.7125;272;2883;9720;81;0;22;0;7;15;0;680;"2023-08-01 10:31:59+02"
"AAA00353656109378739";3316;2568;2700;0;11924;4142;30753;45.7276;9.7125;272;2786;9718;80;0;292;0;2;10;0;660;"2023-08-01 10:47:00+02"
"AAA00353656109378739";3331;2593;2712;0;11924;4122;30684;45.7276;9.7125;272;2630;9718;79;0;135;0;0;0;135;693;"2023-08-01 11:02:07+02"
"AAA00353656109378739";3332;2618;2737;0;11858;4122;30684;45.7276;9.7125;272;2571;9718;79;0;292;0;4;27;0;568;"2023-08-01 11:17:14+02"
"AAA00353656109378739";3340;2650;2762;0;11924;4128;30649;45.7276;9.7125;272;2710;9716;79;0;247;2;5;11;0;715;"2023-08-01 11:32:20+02"
"AAA00353656109378739";3336;2662;2800;0;11924;4122;30580;45.7276;9.7125;272;2649;9713;78;0;202;6;3;8;0;847;"2023-08-01 11:47:32+02"
"AAA00353656109378739";3338;2681;2806;0;11924;4122;30546;45.7276;9.7125;272;2638;9712;79;0;202;0;0;2;0;807;"2023-08-01 12:02:38+02"
"AAA00353656109378739";3349;2693;2818;0;11924;4142;30615;45.7276;9.7125;272;2606;9711;79;0;202;0;0;0;202;763;"2023-08-01 12:17:46+02"
"AAA00353656109378739";3345;2706;2825;0;11924;4128;30615;45.7276;9.7125;272;2712;9709;81;0;0;7;1;7;0;609;"2023-08-01 12:32:52+02"
"AAA00353656109378739";3351;2725;2856;0;11924;4135;30580;45.7275;9.7127;296;2785;9709;80;0;247;16;3;16;247;685;"2023-08-01 12:47:57+02"
"AAA00353656109378739";3335;2731;2856;0;11924;4142;30546;45.7275;9.7127;296;2891;9707;79;0;292;8;7;14;0;705;"2023-08-01 13:03:04+02"
"AAA00353656109378739";3340;2750;2875;0;11858;4122;30546;45.7275;9.7127;296;2876;9706;76;0;292;0;2;9;0;647;"2023-08-01 13:18:10+02"
"AAA00353656109378739";3352;2781;2893;0;11924;4128;30580;45.7275;9.7127;296;3145;9703;75;530;292;26;9;26;292;728;"2023-08-01 13:33:17+02"
"AAA00353656109378739";3353;2812;2950;0;11858;4128;30615;45.7275;9.7127;296;3370;9701;70;1061;247;15;14;36;0;614;"2023-08-01 13:48:22+02"
"AAA00353656109378739";3343;2837;2962;0;11858;4128;30615;45.7275;9.7127;296;3145;9698;67;1229;292;4;5;16;0;735;"2023-08-01 14:03:30+02"
"AAA00353656109378739";3342;2856;2975;0;11924;4122;30580;45.7275;9.7127;296;3200;9698;67;1005;247;31;9;31;247;826;"2023-08-01 14:18:37+02"
"AAA00353656109378739";3354;2875;2987;0;11858;4135;30546;45.7275;9.7127;296;3390;9698;64;558;292;1;9;16;0;763;"2023-08-01 14:33:44+02"
"AAA00353656109378739";3354;2893;3018;0;11924;4142;30511;45.7275;9.7127;296;3328;9698;61;335;292;20;10;20;292;669;"2023-08-01 14:48:46+02"
"AAA00353656109378739";3363;2906;3025;0;11858;4135;30477;45.7275;9.7127;296;3165;9696;59;391;292;16;12;16;292;642;"2023-08-01 15:03:53+02"
"AAA00353656109378739";3370;2918;3037;0;11924;4128;30477;45.7275;9.7127;296;3139;9696;61;670;247;14;8;27;0;682;"2023-08-01 15:18:59+02"
"AAA00353656109378739";3368;2931;3050;0;11858;4122;30477;45.7275;9.7127;296;3121;9693;60;391;292;4;8;26;0;680;"2023-08-01 15:34:06+02"
"AAA00353656109378739";3376;2937;3068;0;11924;4135;30442;45.7275;9.7127;296;2998;9691;59;754;292;0;8;24;0;603;"2023-08-01 15:49:11+02"
"AAA00353656109378739";3370;2950;3068;0;11858;4128;30407;45.7275;9.7127;296;2950;9691;59;1341;202;0;8;15;0;608;"2023-08-01 16:04:18+02"
"AAA00353656109378739";3373;2956;3075;0;11858;4142;30407;45.7275;9.7127;296;2929;9689;60;1369;292;18;5;18;292;708;"2023-08-01 16:19:25+02"
"AAA00353656109378739";3395;2956;3075;0;11924;4128;30407;45.7275;9.7127;296;2955;9688;60;1089;247;14;15;33;0;798;"2023-08-01 16:34:32+02"
"AAA00353656109378739";3405;2956;3093;0;11924;4122;30407;45.7275;9.7128;294;2906;9688;60;1173;292;22;24;48;0;845;"2023-08-01 16:49:47+02"
"AAA00353656109378739";3401;2962;3081;0;11924;4115;30373;45.7275;9.7128;294;2886;9689;60;949;22;0;3;9;0;898;"2023-08-01 17:04:53+02"
"AAA00353656109378739";3412;2962;3081;0;11924;4115;30338;45.7275;9.7128;294;2871;9688;61;614;67;2;4;12;0;811;"2023-08-01 17:20:00+02"
"AAA00353656109378739";3401;2962;3081;0;11924;4135;30338;45.7275;9.7128;294;2824;9688;61;502;292;2;5;14;0;802;"2023-08-01 17:35:07+02"
"AAA00353656109378739";3401;2962;3100;0;11924;4142;30304;45.7275;9.7128;294;2808;9686;61;111;292;14;10;19;0;888;"2023-08-01 17:50:10+02"
"AAA00353656109378739";3409;2956;3087;0;11924;4135;30269;45.7275;9.7128;294;2782;9685;61;0;247;0;1;4;0;1183;"2023-08-01 18:05:17+02"
"AAA00353656109378739";3406;2956;3081;0;11924;4135;30235;45.7275;9.7128;294;2782;9685;61;0;0;4;5;10;0;1335;"2023-08-01 18:20:23+02"
"AAA00353656109378739";3412;2950;3075;0;11924;4122;30200;45.7275;9.7128;294;2717;9683;61;0;247;3;5;19;0;1516;"2023-08-01 18:35:29+02"
"AAA00353656109378739";;2950;3081;0;11924;4128;30166;45.7275;9.7128;294;2670;9684;63;0;292;8;4;8;292;0;"2023-08-01 18:50:40+02"
"AAA00353656109378739";3410;2950;3068;0;11924;4108;30096;45.7275;9.7128;294;2630;9684;63;0;247;16;8;16;0;1254;"2023-08-01 19:05:47+02"
"AAA00353656109378739";3411;2931;3062;0;11924;4128;30062;45.7275;9.7128;294;2624;9683;63;0;292;0;5;9;0;946;"2023-08-01 19:20:55+02"
"AAA00353656109378739";3411;2925;3050;0;11924;4128;29993;45.7275;9.7128;294;2536;9682;64;0;247;7;1;7;247;804;"2023-08-01 19:36:03+02"
"AAA00353656109378739";;2912;3050;0;11924;4122;29993;45.7275;9.7128;294;2468;9682;65;0;0;0;1;5;0;0;"2023-08-01 19:51:04+02"
"AAA00353656109378739";3410;2900;3025;0;11924;4128;29958;45.7275;9.7128;294;2406;9685;67;0;67;0;1;8;0;416;"2023-08-01 20:06:11+02"
"AAA00353656109378739";3399;2881;3006;0;11858;4122;29958;45.7275;9.7128;294;2356;9686;68;0;67;0;0;0;67;364;"2023-08-01 20:21:18+02"
"AAA00353656109378739";3411;2862;2987;0;11924;4128;29958;45.7275;9.7128;294;2320;9688;70;0;292;9;6;9;292;297;"2023-08-01 20:36:25+02"
"AAA00353656109378739";3408;2850;2981;0;11924;4122;29958;45.7276;9.7127;305;2273;9689;71;0;22;8;4;8;0;208;"2023-08-01 20:51:26+02"
"AAA00353656109378739";3406;2831;2956;0;11858;4122;29889;45.7276;9.7127;305;2216;9690;72;0;0;9;3;9;0;166;"2023-08-01 21:06:32+02"
"AAA00353656109378739";3395;2800;2931;0;11924;4122;29855;45.7276;9.7127;305;2169;9693;74;0;337;18;10;32;0;143;"2023-08-01 21:21:39+02"
"AAA00353656109378739";3391;2775;2906;0;11924;4115;29855;45.7276;9.7127;305;2159;9694;74;0;292;0;15;24;0;152;"2023-08-01 21:36:46+02"
"AAA00353656109378739";3406;2762;2906;0;11924;4122;29855;45.7276;9.7127;305;2108;9696;75;0;0;10;3;10;0;238;"2023-08-01 21:51:49+02"
"AAA00353656109378739";3398;2743;2868;0;11924;4128;29855;45.7276;9.7127;305;2110;9697;76;0;0;9;6;10;0;288;"2023-08-01 22:06:56+02"
"AAA00353656109378739";3406;2718;2850;0;11858;4142;29855;45.7276;9.7127;305;2118;9698;77;0;0;26;20;31;0;342;"2023-08-01 22:22:02+02"
"AAA00353656109378739";3401;2700;2825;0;11924;4128;29889;45.7276;9.7127;305;2134;9698;77;0;292;19;19;37;0;344;"2023-08-01 22:37:09+02"
"AAA00353656109378739";3407;2681;2818;0;11858;4122;29924;45.7276;9.7127;305;2155;9700;76;0;0;14;10;16;0;234;"2023-08-01 22:52:13+02"
"AAA00353656109378739";3407;2662;2787;0;11924;4115;29889;45.7276;9.7127;305;2116;9700;76;0;292;6;12;28;0;199;"2023-08-01 23:07:21+02"
"AAA00353656109378739";3391;2643;2768;0;11924;4122;29889;45.7276;9.7127;305;2075;9699;77;0;225;20;9;22;0;276;"2023-08-01 23:22:28+02"
"AAA00353656109378739";3389;2625;2750;0;11924;4142;29924;45.7276;9.7127;305;2077;9697;78;0;292;12;8;20;0;178;"2023-08-01 23:37:35+02"
"AAA00353656109378739";3394;2606;2750;0;11924;4142;29958;45.7276;9.7127;305;2066;9700;78;0;0;0;5;10;0;197;"2023-08-01 23:52:35+02"
"AAA00353656109378739";3389;2593;2725;0;11924;4128;29993;45.7276;9.7127;305;2028;9702;79;0;22;7;4;10;0;205;"2023-08-02 00:07:41+02"
"AAA00353656109378739";3373;2568;2706;0;11924;4122;29958;45.7276;9.7127;305;2069;9703;79;0;0;4;9;18;0;148;"2023-08-02 00:22:49+02"
"AAA00353656109378739";3375;2550;2687;0;11924;4122;29993;45.7276;9.7127;305;2046;9705;79;0;292;19;5;19;292;225;"2023-08-02 00:37:55+02"
"AAA00353656109378739";3375;2537;2681;0;11924;4122;30027;45.7275;9.7129;319;2042;9705;79;0;0;10;11;18;0;151;"2023-08-02 00:52:57+02"
"AAA00353656109378739";3371;2512;2656;0;11924;4122;29993;45.7275;9.7129;319;2046;9707;79;0;0;41;23;41;0;113;"2023-08-02 01:08:04+02"
"AAA00353656109378739";3368;2493;2637;0;11793;4128;30027;45.7275;9.7129;319;2020;9710;79;0;292;14;11;22;0;166;"2023-08-02 01:23:11+02"
"AAA00353656109378739";3362;2481;2618;0;11924;4115;30062;45.7275;9.7129;319;2004;9710;80;0;0;15;14;26;0;138;"2023-08-02 01:38:18+02"
"AAA00353656109378739";3376;2462;2618;0;11924;4122;30131;45.7275;9.7129;319;2001;9713;80;0;337;17;15;26;0;134;"2023-08-02 01:53:18+02"
