"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";1399;537;668;0;11793;4115;27678;45.7275;9.7127;;376;9665;83;0;22;6;1;6;22;0;"2023-12-01 00:13:14+01"
"AAA00353656109378739";1398;537;668;0;11793;4149;27678;45.7275;9.7127;;380;9666;84;0;292;0;6;18;0;0;"2023-12-01 00:28:18+01"
"AAA00353656109378739";1381;537;668;0;11793;4122;27712;45.7275;9.7127;;384;9666;84;0;292;0;3;18;0;0;"2023-12-01 00:43:22+01"
"AAA00353656109378739";1365;543;675;0;11793;4128;27678;45.7275;9.7127;;406;9665;84;0;247;0;0;4;0;1;"2023-12-01 00:58:33+01"
"AAA00353656109378739";1349;543;675;0;11793;4115;27712;45.7275;9.7127;;384;9664;84;0;202;0;2;6;0;0;"2023-12-01 01:13:37+01"
"AAA00353656109378739";1375;543;668;0;11793;4149;27712;45.7275;9.7127;;384;9664;84;0;67;0;7;19;0;0;"2023-12-01 01:28:42+01"
"AAA00353656109378739";1560;543;668;0;11858;4149;27712;45.7275;9.7127;;381;9662;84;0;292;0;6;12;0;0;"2023-12-01 01:43:45+01"
"AAA00353656109378739";1435;543;681;0;11793;4149;27747;45.7275;9.7127;;385;9663;84;0;202;0;4;18;0;0;"2023-12-01 01:58:59+01"
"AAA00353656109378739";1478;543;675;0;11858;4128;27747;45.7275;9.7127;;390;9663;84;0;292;8;5;13;0;0;"2023-12-01 02:14:03+01"
"AAA00353656109378739";1484;543;675;0;11858;4115;27712;45.7275;9.7127;;391;9661;84;0;22;0;3;11;0;1;"2023-12-01 02:29:07+01"
"AAA00353656109378739";1484;543;675;0;11793;4156;27678;45.7275;9.7127;;397;9659;84;0;292;0;0;0;292;0;"2023-12-01 02:44:11+01"
"AAA00353656109378739";1441;543;712;0;11924;4135;27712;45.7275;9.7127;293;404;9657;84;0;202;7;7;16;0;0;"2023-12-01 02:59:22+01"
"AAA00353656109378739";1439;550;681;0;11858;4142;27747;45.7275;9.7127;293;413;9657;85;0;202;2;3;10;0;1;"2023-12-01 03:14:26+01"
"AAA00353656109378739";1435;543;675;0;11793;4115;27747;45.7275;9.7127;293;414;9657;85;0;202;2;0;2;202;0;"2023-12-01 03:29:29+01"
"AAA00353656109378739";1401;543;675;0;11793;4128;27781;45.7275;9.7127;293;409;9657;85;0;135;6;5;18;0;5;"2023-12-01 03:44:33+01"
"AAA00353656109378739";1395;550;681;0;11793;4122;27747;45.7275;9.7127;293;425;9655;85;0;135;0;0;0;0;0;"2023-12-01 03:59:46+01"
"AAA00353656109378739";1374;550;675;0;11793;4142;27747;45.7275;9.7127;293;403;9659;85;0;337;17;6;17;337;0;"2023-12-01 04:14:49+01"
"AAA00353656109378739";1365;550;681;0;11793;4128;27747;45.7275;9.7127;293;399;9656;85;0;337;0;0;3;0;0;"2023-12-01 04:29:54+01"
"AAA00353656109378739";1355;550;675;0;11793;4128;27781;45.7275;9.7127;293;406;9651;85;0;202;0;1;6;0;0;"2023-12-01 04:44:58+01"
