"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";2893;2118;2275;0;11793;4128;22460;45.7271;9.7133;302;1724;9835;66;0;0;29;20;30;0;0;"2023-06-01 00:11:28+02"
"AAA00353656109378739";2881;2093;2256;0;11858;4128;22460;45.7271;9.7133;302;1717;9834;66;0;337;20;27;38;0;0;"2023-06-01 00:26:34+02"
"AAA00353656109378739";2868;2081;2250;0;11858;4128;22529;45.7271;9.7133;302;1688;9834;67;0;0;13;14;19;0;0;"2023-06-01 00:41:44+02"
"AAA00353656109378739";2843;2062;2225;0;11858;4128;22529;45.7271;9.7133;302;1658;9835;67;0;0;12;18;37;0;0;"2023-06-01 00:56:51+02"
"AAA00353656109378739";2835;2050;2206;0;11858;4128;22598;45.7271;9.7133;302;1633;9834;68;0;0;29;19;30;0;0;"2023-06-01 01:11:57+02"
"AAA00353656109378739";2826;2037;2187;0;11858;4128;22564;45.7271;9.7133;302;1638;9834;69;0;337;4;13;20;0;0;"2023-06-01 01:27:03+02"
"AAA00353656109378739";2827;2018;2181;0;11924;4142;22598;45.7271;9.7133;;1640;9833;69;0;292;22;19;44;0;4;"2023-06-01 01:42:08+02"
"AAA00353656109378739";2809;2006;2156;0;11858;4149;22667;45.7271;9.7133;;1630;9833;69;0;0;10;6;14;0;1;"2023-06-01 01:57:14+02"
"AAA00353656109378739";2783;1987;2137;0;11924;4115;22633;45.7271;9.7133;;1639;9832;69;0;337;6;9;16;0;0;"2023-06-01 02:12:21+02"
"AAA00353656109378739";2778;1975;2125;0;11924;4128;22702;45.7271;9.7133;;1631;9832;70;0;0;17;19;24;0;0;"2023-06-01 02:27:27+02"
