"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";2790;2037;2231;0;11989;4128;26883;45.7276;9.7127;312;1669;9761;90;0;292;0;0;0;292;0;"2023-07-01 00:04:28+02"
"AAA00353656109378739";2778;2031;2168;0;11858;4122;26917;45.7276;9.7127;312;1666;9761;90;0;292;0;0;0;292;0;"2023-07-01 00:19:31+02"
"AAA00353656109378739";2754;2018;2156;0;11858;4128;26848;45.7276;9.7127;312;1666;9759;90;0;0;8;4;9;0;0;"2023-07-01 00:34:36+02"
"AAA00353656109378739";2760;2012;2143;0;11793;4128;26917;45.7276;9.7127;312;1664;9758;90;0;292;4;6;16;0;0;"2023-07-01 00:49:42+02"
"AAA00353656109378739";2752;2006;2175;0;11924;4128;26848;45.7276;9.7127;312;1663;9757;90;0;292;0;0;0;0;0;"2023-07-01 01:06:17+02"
"AAA00353656109378739";2740;2000;2137;0;11858;4122;26917;45.7276;9.7127;312;1660;9757;90;0;0;6;1;6;0;0;"2023-07-01 01:19:46+02"
"AAA00353656109378739";2750;1993;2125;0;11924;4128;26917;45.7276;9.7127;312;1662;9756;91;0;0;0;2;8;0;0;"2023-07-01 01:34:52+02"
"AAA00353656109378739";2735;1987;2118;0;11924;4128;26883;45.7276;9.7127;312;1652;9755;91;0;0;0;0;0;0;0;"2023-07-01 01:49:57+02"
"AAA00353656109378739";2721;1981;2150;0;11858;4135;26883;45.7276;9.7127;312;1657;9754;91;0;0;0;0;0;0;0;"2023-07-01 02:06:30+02"
"AAA00353656109378739";2730;1975;2112;0;11858;4135;26917;45.7276;9.7127;312;1655;9754;91;0;0;0;0;0;0;0;"2023-07-01 02:19:58+02"
