"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";3258;1787;1943;0;11858;4128;26503;45.7275;9.7126;301;1504;9803;65;0;337;18;28;41;0;0;"2023-05-01 00:11:25+02"
"AAA00353656109378739";3267;1781;1931;0;11858;4135;26537;45.7275;9.7126;301;1508;9803;65;0;0;13;21;38;0;0;"2023-05-01 00:26:30+02"
"AAA00353656109378739";3252;1768;1968;0;11924;4135;26537;45.7275;9.7128;292;1473;9801;65;0;0;34;33;58;0;0;"2023-05-01 00:41:29+02"
"AAA00353656109378739";3252;1762;1918;0;11793;4122;26503;45.7275;9.7128;292;1459;9802;66;0;0;23;27;42;0;0;"2023-05-01 00:56:34+02"
"AAA00353656109378739";3264;1750;1962;0;11924;4128;26537;45.7275;9.7128;292;1455;9801;66;0;337;12;28;44;0;0;"2023-05-01 01:11:39+02"
"AAA00353656109378739";3253;1750;1906;0;11858;4142;26468;45.7275;9.7128;292;1463;9801;66;0;0;24;24;36;0;0;"2023-05-01 01:26:46+02"
"AAA00353656109378739";3267;1737;1937;0;11924;4115;26503;45.7275;9.7128;292;1481;9800;66;0;0;36;31;38;0;0;"2023-05-01 01:41:46+02"
"AAA00353656109378739";3277;1737;1887;0;11858;4122;26503;45.7275;9.7128;292;1474;9799;66;0;337;34;21;34;337;0;"2023-05-01 01:56:52+02"
"AAA00353656109378739";3257;1725;1875;0;11858;4128;26503;45.7275;9.7128;292;1468;9798;66;0;0;24;27;48;0;0;"2023-05-01 02:11:57+02"
"AAA00353656109378739";3276;1712;1868;0;11924;4122;26503;45.7275;9.7128;292;1472;9797;66;0;0;54;38;56;0;0;"2023-05-01 02:27:02+02"
"AAA00353656109378739";3250;1706;1906;0;11793;4142;26399;45.7275;9.7128;292;1459;9797;66;0;0;35;32;40;0;0;"2023-05-01 02:42:13+02"
"AAA00353656109378739";3250;1700;1856;0;11793;4135;26365;45.7275;9.7128;292;1431;9796;66;0;0;10;28;52;0;1;"2023-05-01 02:57:18+02"
"AAA00353656109378739";3259;1693;1843;0;11858;4122;26365;45.7275;9.7128;292;1429;9795;67;0;0;28;28;48;0;0;"2023-05-01 03:12:23+02"
"AAA00353656109378739";3242;1681;1831;0;11858;4128;26399;45.7275;9.7128;292;1445;9795;67;0;0;8;24;41;0;0;"2023-05-01 03:27:28+02"
"AAA00353656109378739";3270;1675;1862;0;11858;4142;26399;45.7275;9.7128;292;1430;9794;67;0;0;24;19;39;0;0;"2023-05-01 03:42:28+02"
"AAA00353656109378739";3256;1668;1818;0;11858;4135;26399;45.7275;9.7128;292;1428;9793;67;0;0;28;20;38;0;1;"2023-05-01 03:57:33+02"
"AAA00353656109378739";3254;1656;1812;0;11858;4149;26468;45.7275;9.7128;292;1441;9792;67;0;337;14;29;52;0;1;"2023-05-01 04:12:39+02"
"AAA00353656109378739";3265;1656;1806;0;11858;4128;26468;45.7275;9.7128;292;1436;9792;67;0;337;36;25;51;0;0;"2023-05-01 04:27:44+02"
"AAA00353656109378739";3257;1643;1837;0;11858;4128;26468;45.7276;9.7126;293;1398;9791;68;0;337;25;27;38;0;0;"2023-05-01 04:42:44+02"
"AAA00353656109378739";3256;1643;1800;0;11858;4149;26399;45.7276;9.7126;293;1363;9792;69;0;292;28;22;33;0;0;"2023-05-01 04:57:49+02"
"AAA00353656109378739";3271;1643;1843;0;11989;4135;26296;45.7276;9.7126;293;1319;9791;70;0;0;20;20;32;0;0;"2023-05-01 05:12:54+02"
"AAA00353656109378739";3266;1631;1787;0;11858;4128;26296;45.7276;9.7126;293;1275;9796;72;0;135;6;6;19;0;1;"2023-05-01 05:28:00+02"
"AAA00353656109378739";3237;1625;1812;0;11858;4128;26261;45.7276;9.7126;293;1220;9797;74;0;0;0;4;17;0;2;"2023-05-01 05:43:10+02"
"AAA00353656109378739";3226;1625;1781;0;11858;4128;26330;45.7276;9.7126;293;1209;9795;75;0;292;7;4;12;0;1;"2023-05-01 05:58:15+02"
"AAA00353656109378739";3251;1618;1768;0;11858;4115;26365;45.7276;9.7126;293;1215;9794;77;0;0;21;8;21;0;9;"2023-05-01 06:13:19+02"
"AAA00353656109378739";3243;1612;1762;0;11858;4128;26330;45.7276;9.7126;293;1204;9794;77;0;292;0;6;13;0;18;"2023-05-01 06:28:24+02"
"AAA00353656109378739";3245;1606;1781;0;11858;4122;26330;45.7276;9.7126;293;1228;9795;78;0;292;8;10;22;0;16;"2023-05-01 06:43:40+02"
"AAA00353656109378739";3206;1600;1750;0;11858;4149;26399;45.7276;9.7126;293;1234;9796;79;0;0;12;5;12;0;29;"2023-05-01 06:58:45+02"
"AAA00353656109378739";3191;1593;1743;0;11793;4135;26399;45.7276;9.7126;293;1248;9798;80;0;0;6;10;26;0;19;"2023-05-01 07:13:52+02"
"AAA00353656109378739";3206;1587;1737;0;11858;4122;26365;45.7276;9.7126;293;1261;9798;80;0;0;5;13;32;0;27;"2023-05-01 07:28:57+02"
