"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";2723;1187;1337;0;11858;4128;26779;45.7274;9.7128;306;843;9781;85;0;22;14;17;27;0;0;"2023-11-01 00:07:44+01"
"AAA00353656109378739";2723;1175;1343;0;11858;4128;26779;45.7274;9.7128;306;792;9782;85;0;292;14;10;14;292;0;"2023-11-01 00:22:44+01"
"AAA00353656109378739";2720;1162;1318;0;11793;4135;26779;45.7275;9.7126;291;808;9781;86;0;0;29;19;34;0;0;"2023-11-01 00:37:44+01"
"AAA00353656109378739";2728;1150;1300;0;11858;4128;26779;45.7275;9.7126;291;828;9781;86;0;0;23;16;24;0;0;"2023-11-01 00:52:49+01"
"AAA00353656109378739";2637;1143;1287;0;11858;4128;26641;45.7275;9.7126;291;828;9782;86;0;0;17;20;23;0;0;"2023-11-01 01:07:54+01"
"AAA00353656109378739";2680;1131;1368;0;11924;4142;26710;45.7275;9.7126;291;789;9783;85;0;0;20;12;20;0;0;"2023-11-01 01:22:54+01"
"AAA00353656109378739";2693;1125;1281;0;11924;4122;26676;45.7275;9.7126;291;775;9785;85;0;292;12;9;16;0;0;"2023-11-01 01:37:56+01"
"AAA00353656109378739";2701;1106;1256;0;11858;4149;26676;45.7275;9.7126;291;769;9785;86;0;247;31;20;40;0;0;"2023-11-01 01:53:01+01"
"AAA00353656109378739";2641;1093;1243;0;11858;4142;26676;45.7275;9.7126;291;753;9784;86;0;0;17;12;26;0;0;"2023-11-01 02:08:06+01"
"AAA00353656109378739";2748;1087;1256;0;11858;4142;26745;45.7275;9.7126;291;813;9782;86;0;0;23;25;34;0;0;"2023-11-01 02:23:06+01"
"AAA00353656109378739";2676;1081;1225;0;11858;4122;26710;45.7275;9.7126;291;829;9783;86;0;0;11;19;26;0;0;"2023-11-01 02:38:10+01"
"AAA00353656109378739";2663;1068;1212;0;11793;4128;26710;45.7275;9.7126;291;803;9783;86;0;0;10;27;47;0;0;"2023-11-01 02:53:15+01"
"AAA00353656109378739";2486;1062;1200;0;11858;4149;26745;45.7275;9.7126;291;778;9783;85;0;292;20;18;33;0;0;"2023-11-01 03:08:20+01"
"AAA00353656109378739";2623;1056;1212;0;11793;4142;26745;45.7275;9.7126;291;782;9785;86;0;292;16;15;27;0;0;"2023-11-01 03:23:20+01"
"AAA00353656109378739";2578;1043;1187;0;11858;4122;26745;45.7275;9.7126;291;762;9784;86;0;0;24;18;24;0;0;"2023-11-01 03:38:21+01"
