"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";3424;2275;2437;0;11924;4128;27712;45.7275;9.7129;;1740;9882;70;0;0;15;23;38;0;105;"2023-10-01 00:04:00+02"
"AAA00353656109378739";3423;2256;2412;0;11924;4128;27747;45.7275;9.7129;;1740;9882;71;0;337;20;25;34;0;122;"2023-10-01 00:19:07+02"
"AAA00353656109378739";3420;2237;2393;0;11924;4135;27781;45.7275;9.7129;;1740;9882;71;0;337;10;22;42;0;157;"2023-10-01 00:34:13+02"
"AAA00353656109378739";3419;2218;2425;0;11858;4115;27816;45.7273;9.7128;287;1727;9883;71;0;0;26;24;36;0;102;"2023-10-01 00:49:17+02"
"AAA00353656109378739";3416;2200;2368;0;11924;4122;27850;45.7273;9.7128;287;1714;9884;71;0;0;16;24;37;0;131;"2023-10-01 01:04:23+02"
"AAA00353656109378739";3417;2181;2343;0;11858;4128;27885;45.7273;9.7128;287;1699;9883;71;0;337;24;18;29;0;119;"2023-10-01 01:19:29+02"
"AAA00353656109378739";3405;2168;2325;0;11793;4135;27954;45.7273;9.7128;287;1691;9885;72;0;0;11;18;32;0;123;"2023-10-01 01:34:35+02"
"AAA00353656109378739";3395;2150;2337;0;11858;4142;27954;45.7273;9.7128;287;1676;9884;72;0;292;35;29;42;0;129;"2023-10-01 01:49:40+02"
"AAA00353656109378739";3410;2137;2300;0;11924;4122;28023;45.7273;9.7128;287;1691;9884;72;0;0;29;33;52;0;126;"2023-10-01 02:04:46+02"
"AAA00353656109378739";3409;2118;2281;0;11858;4128;28058;45.7273;9.7128;287;1688;9884;72;0;292;23;25;30;0;129;"2023-10-01 02:19:52+02"
"AAA00353656109378739";3419;2106;2262;0;11924;4128;28161;45.7273;9.7128;287;1666;9885;72;0;0;23;19;26;0;164;"2023-10-01 02:34:59+02"
"AAA00353656109378739";3407;2093;2275;0;11924;4128;28161;45.7273;9.7128;287;1654;9884;72;0;0;30;24;38;0;166;"2023-10-01 02:50:13+02"
"AAA00353656109378739";3409;2075;2237;0;11924;4135;28196;45.7273;9.7128;287;1645;9884;73;0;0;16;21;35;0;138;"2023-10-01 03:05:18+02"
"AAA00353656109378739";3412;2062;2218;0;11924;4149;28196;45.7273;9.7128;287;1615;9885;73;0;0;16;19;23;0;106;"2023-10-01 03:20:23+02"
"AAA00353656109378739";3412;2043;2200;0;11858;4128;28231;45.7273;9.7128;287;1602;9885;73;0;337;48;20;48;337;80;"2023-10-01 03:35:29+02"
"AAA00353656109378739";3394;2037;2212;0;11858;4135;28265;45.7275;9.7126;273;1601;9884;74;0;337;34;22;34;337;84;"2023-10-01 03:50:32+02"
"AAA00353656109378739";3404;2025;2181;0;11858;4122;28300;45.7275;9.7126;273;1578;9885;74;0;337;9;12;32;0;84;"2023-10-01 04:05:37+02"
"AAA00353656109378739";3404;2012;2162;0;11858;4128;28300;45.7275;9.7126;273;1600;9885;75;0;337;14;16;21;0;100;"2023-10-01 04:20:44+02"
"AAA00353656109378739";3415;1993;2150;0;11924;4128;28334;45.7275;9.7126;273;1598;9884;74;0;22;18;21;33;0;91;"2023-10-01 04:35:50+02"
"AAA00353656109378739";3403;1987;2168;0;11793;4115;28369;45.7275;9.7126;273;1560;9884;74;0;0;20;10;20;0;56;"2023-10-01 04:50:52+02"
"AAA00353656109378739";3401;1975;2131;0;11924;4128;28403;45.7275;9.7126;273;1552;9884;75;0;0;14;23;29;0;68;"2023-10-01 05:05:58+02"
"AAA00353656109378739";3389;1962;2112;0;11793;4135;28403;45.7275;9.7126;273;1559;9883;75;0;0;4;14;33;0;94;"2023-10-01 05:21:04+02"
"AAA00353656109378739";3407;1950;2093;0;11858;4128;28403;45.7275;9.7126;273;1524;9883;75;0;0;15;23;57;0;101;"2023-10-01 05:36:10+02"
"AAA00353656109378739";3404;1937;2106;0;11858;4135;28403;45.7275;9.7126;273;1547;9884;75;0;292;44;26;44;292;86;"2023-10-01 05:51:12+02"
"AAA00353656109378739";3407;1931;2081;0;11924;4128;28472;45.7275;9.7126;273;1542;9883;75;0;292;42;19;42;292;83;"2023-10-01 06:06:19+02"
"AAA00353656109378739";3409;1925;2068;0;11924;4142;28472;45.7275;9.7126;273;1561;9884;75;0;0;10;19;27;0;140;"2023-10-01 06:21:24+02"
"AAA00353656109378739";3401;1912;2056;0;11858;4128;28472;45.7275;9.7126;273;1563;9885;75;0;0;26;19;26;0;111;"2023-10-01 06:36:30+02"
"AAA00353656109378739";3400;1906;2068;0;11858;4128;28507;45.7275;9.7126;273;1573;9886;75;0;0;6;15;27;0;83;"2023-10-01 06:51:31+02"
"AAA00353656109378739";3406;1893;2043;0;11858;4122;28472;45.7275;9.7126;273;1534;9887;75;0;0;12;16;26;0;104;"2023-10-01 07:06:37+02"
"AAA00353656109378739";3401;1881;2031;0;11924;4122;28542;45.7275;9.7126;273;1517;9888;75;0;0;33;20;33;0;149;"2023-10-01 07:21:42+02"
"AAA00353656109378739";3401;1875;2018;0;11924;4122;28576;45.7275;9.7126;273;1518;9891;75;0;337;12;17;28;0;138;"2023-10-01 07:36:49+02"
"AAA00353656109378739";3402;1868;2037;0;11924;4149;28542;45.7273;9.7128;330;1521;9892;76;0;0;20;21;31;0;180;"2023-10-01 07:51:51+02"
"AAA00353656109378739";3390;1868;2012;0;11924;4128;28611;45.7273;9.7128;330;1575;9895;76;0;0;18;18;23;0;158;"2023-10-01 08:06:56+02"
"AAA00353656109378739";3400;1868;2006;0;11924;4128;28611;45.7273;9.7128;330;1631;9895;75;0;337;21;17;22;0;158;"2023-10-01 08:22:02+02"
"AAA00353656109378739";3390;1875;2012;0;11793;4122;28576;45.7273;9.7128;330;1690;9897;75;0;0;12;16;26;0;141;"2023-10-01 08:37:08+02"
"AAA00353656109378739";3389;1887;2043;0;11858;4128;28645;45.7273;9.7128;330;1730;9897;74;0;0;46;20;46;0;118;"2023-10-01 08:52:10+02"
"AAA00353656109378739";3392;1900;2037;0;11924;4128;28680;45.7273;9.7128;330;1785;9899;73;0;0;36;20;36;0;149;"2023-10-01 09:07:15+02"
