"hive";"internal";"external";"board";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00353656109378739";3227;2250;2406;0;11924;4122;31617;45.7275;9.7125;288;1678;9820;68;0;337;16;10;16;337;114;"2023-09-01 00:05:40+02"
"AAA00353656109378739";3214;2231;2400;0;11924;4122;31617;45.7275;9.7125;288;1655;9820;69;0;225;20;21;44;0;167;"2023-09-01 00:20:52+02"
"AAA00353656109378739";3194;2206;2362;0;11924;4122;31686;45.7275;9.7125;288;1690;9821;69;0;0;21;23;44;0;127;"2023-09-01 00:35:57+02"
"AAA00353656109378739";3192;2187;2337;0;11793;4128;31686;45.7275;9.7125;288;1705;9822;69;0;0;20;26;38;0;141;"2023-09-01 00:51:03+02"
"AAA00353656109378739";3178;2168;2318;0;11858;4128;31686;45.7275;9.7125;288;1698;9822;68;0;0;20;18;24;0;134;"2023-09-01 01:06:09+02"
"AAA00353656109378739";3175;2150;2312;0;11858;4122;31686;45.7275;9.7125;288;1672;9823;68;0;0;18;16;34;0;99;"2023-09-01 01:21:12+02"
"AAA00353656109378739";3159;2131;2281;0;11858;4142;31720;45.7275;9.7125;288;1649;9822;69;0;0;12;15;24;0;98;"2023-09-01 01:36:19+02"
"AAA00353656109378739";3152;2112;2262;0;11924;4128;31720;45.7275;9.7125;288;1597;9822;69;0;0;22;9;22;0;105;"2023-09-01 01:51:25+02"
"AAA00353656109378739";3143;2093;2243;0;11924;4142;31755;45.7275;9.7125;288;1605;9822;70;0;337;16;17;23;0;123;"2023-09-01 02:06:30+02"
"AAA00353656109378739";3129;2081;2243;0;11858;4128;31790;45.7275;9.7125;;1606;9822;70;0;0;20;12;27;0;115;"2023-09-01 02:21:31+02"
"AAA00353656109378739";3104;2075;2218;0;11858;4135;31824;45.7275;9.7125;;1614;9824;70;0;292;43;31;54;0;88;"2023-09-01 02:36:36+02"
"AAA00353656109378739";3080;2050;2200;0;11858;4142;31859;45.7275;9.7125;;1573;9823;70;0;247;0;3;14;0;73;"2023-09-01 02:51:42+02"
"AAA00353656109378739";3080;2037;2181;0;11924;4149;31859;45.7275;9.7125;;1531;9824;71;0;292;0;11;17;0;87;"2023-09-01 03:06:48+02"
"AAA00353656109378739";3059;2018;2187;0;11858;4128;31893;45.7275;9.7129;303;1493;9824;72;0;0;10;1;10;0;72;"2023-09-01 03:22:04+02"
"AAA00353656109378739";3060;2006;2156;0;11924;4128;31893;45.7275;9.7129;303;1506;9824;73;0;292;26;12;26;292;86;"2023-09-01 03:37:10+02"
"AAA00353656109378739";3027;1993;2137;0;11924;4128;31893;45.7275;9.7129;303;1489;9823;73;0;0;6;11;20;0;71;"2023-09-01 03:52:16+02"
"AAA00353656109378739";3022;1975;2118;0;11924;4128;31928;45.7275;9.7129;303;1499;9824;73;0;337;24;15;24;337;97;"2023-09-01 04:07:22+02"
"AAA00353656109378739";2998;1968;2125;0;11858;4128;31962;45.7275;9.7129;303;1526;9824;73;0;337;35;23;35;337;69;"2023-09-01 04:22:28+02"
"AAA00353656109378739";2998;1962;2100;0;11858;4128;31997;45.7275;9.7129;303;1521;9825;73;0;0;24;25;44;0;70;"2023-09-01 04:37:32+02"
"AAA00353656109378739";2986;1943;2087;0;11924;4128;32031;45.7275;9.7129;303;1506;9825;73;0;0;11;18;34;0;138;"2023-09-01 04:52:38+02"
"AAA00353656109378739";2989;1931;2075;0;11793;4142;32031;45.7275;9.7129;303;1510;9826;73;0;0;30;17;30;0;83;"2023-09-01 05:07:45+02"
"AAA00353656109378739";2974;1925;2075;0;11858;4135;32031;45.7275;9.7129;303;1502;9826;73;0;0;8;16;32;0;39;"2023-09-01 05:23:00+02"
"AAA00353656109378739";2954;1906;2050;0;11858;4128;32031;45.7275;9.7129;303;1494;9827;73;0;0;4;12;20;0;71;"2023-09-01 05:38:04+02"
"AAA00353656109378739";2945;1900;2037;0;11858;4128;32066;45.7275;9.7129;303;1494;9826;74;0;337;20;22;28;0;46;"2023-09-01 05:53:09+02"
"AAA00353656109378739";2927;1893;2025;0;11858;4128;32066;45.7275;9.7129;303;1525;9827;73;0;0;25;17;25;0;111;"2023-09-01 06:08:15+02"
"AAA00353656109378739";2926;1881;2031;0;11858;4128;32101;45.7275;9.7129;;1508;9827;73;0;0;16;10;16;0;38;"2023-09-01 06:23:32+02"
"AAA00353656109378739";2914;1875;2012;0;11793;4122;32101;45.7275;9.7129;;1483;9827;73;0;0;30;16;30;0;40;"2023-09-01 06:38:37+02"
"AAA00353656109378739";2898;1862;2000;0;11858;4128;32135;45.7275;9.7129;;1501;9828;73;0;337;14;17;28;0;56;"2023-09-01 06:53:44+02"
"AAA00353656109378739";2888;1862;1993;0;11793;4128;32204;45.7275;9.7129;;1503;9829;74;0;292;12;20;46;0;47;"2023-09-01 07:08:50+02"
"AAA00353656109378739";2896;1856;2006;0;11793;4149;32170;45.7275;9.7129;313;1508;9830;74;0;0;18;20;30;0;85;"2023-09-01 07:23:48+02"
"AAA00353656109378739";2877;1850;1987;0;11793;4115;32170;45.7275;9.7129;313;1525;9831;73;0;0;20;12;20;0;54;"2023-09-01 07:38:53+02"
"AAA00353656109378739";2838;1850;1981;0;11793;4142;32204;45.7275;9.7129;313;1564;9832;74;0;0;26;15;26;0;47;"2023-09-01 07:53:58+02"
"AAA00353656109378739";2844;1856;1981;0;11858;4122;32170;45.7275;9.7129;313;1642;9834;73;0;0;4;23;37;0;53;"2023-09-01 08:09:03+02"
"AAA00353656109378739";2836;1868;2006;0;11858;4128;32204;45.7275;9.7129;313;1728;9836;72;0;0;4;16;30;0;61;"2023-09-01 08:24:19+02"
"AAA00353656109378739";2841;1881;2006;0;11924;4115;32204;45.7275;9.7129;313;1832;9837;71;0;22;1;8;15;0;68;"2023-09-01 08:39:25+02"
"AAA00353656109378739";2844;1887;2012;0;11858;4128;32204;45.7275;9.7129;313;1911;9837;69;0;0;0;7;20;0;53;"2023-09-01 08:54:30+02"
"AAA00353656109378739";2828;1906;2018;0;11924;4128;32273;45.7275;9.7129;313;1939;9838;67;0;292;7;10;19;0;66;"2023-09-01 09:09:36+02"
"AAA00353656109378739";2822;1931;2050;0;11924;4128;32273;45.7275;9.7129;313;1966;9838;66;0;337;3;12;37;0;73;"2023-09-01 09:24:40+02"
"AAA00353656109378739";2821;1943;2056;0;11858;4128;32273;45.7275;9.7129;313;2034;9838;65;0;0;5;7;20;0;88;"2023-09-01 09:39:45+02"
"AAA00353656109378739";2805;1962;2075;0;11858;4128;32273;45.7275;9.7129;313;2146;9839;64;0;202;4;9;26;0;89;"2023-09-01 09:54:51+02"
"AAA00353656109378739";2819;1987;2093;0;11924;4128;32204;45.7275;9.7129;313;2585;9840;61;0;292;18;20;33;0;111;"2023-09-01 10:09:56+02"
"AAA00353656109378739";2821;2043;2162;0;11924;4122;32273;45.7275;9.7129;;2836;9841;56;0;0;13;22;37;0;254;"2023-09-01 10:25:02+02"
"AAA00353656109378739";2855;2100;2212;0;11924;4128;32342;45.7275;9.7129;;2726;9842;54;0;292;31;10;31;292;179;"2023-09-01 10:40:08+02"
"AAA00353656109378739";2863;2156;2275;0;11924;4128;32342;45.7275;9.7129;;2758;9841;53;0;292;38;16;38;292;138;"2023-09-01 10:55:13+02"
"AAA00353656109378739";2886;2250;2375;0;11858;4135;32342;45.7275;9.7129;;3102;9841;50;0;247;27;20;39;0;186;"2023-09-01 11:10:18+02"
"AAA00353656109378739";2892;2356;2575;0;11989;4122;32308;45.7275;9.7127;291;3233;9841;48;0;22;14;28;52;0;142;"2023-09-01 11:25:20+02"
"AAA00353656109378739";2956;2487;2637;0;11924;4122;32377;45.7275;9.7127;291;3269;9843;46;0;292;8;38;80;0;139;"2023-09-01 11:40:25+02"
"AAA00353656109378739";3003;2593;2750;0;11858;4122;32342;45.7275;9.7127;291;3461;9843;44;0;292;32;22;50;0;162;"2023-09-01 11:55:31+02"
"AAA00353656109378739";3051;2725;2856;0;11924;4115;32308;45.7275;9.7127;291;3486;9842;42;0;135;4;17;26;0;271;"2023-09-01 12:10:38+02"
"AAA00353656109378739";3051;2825;2975;0;11989;4128;32308;45.7275;9.7127;291;3642;9841;41;0;247;24;12;24;247;590;"2023-09-01 12:25:42+02"
"AAA00353656109378739";3096;2937;3075;0;11989;4122;32170;45.7275;9.7127;291;3694;9839;40;0;292;13;24;46;0;846;"2023-09-01 12:40:48+02"
"AAA00353656109378739";3128;3043;3181;0;11989;4128;32135;45.7275;9.7127;291;3768;9839;39;0;292;2;21;60;0;1015;"2023-09-01 12:55:54+02"
"AAA00353656109378739";3154;3150;3275;0;11924;4135;32066;45.7275;9.7127;291;3592;9840;38;0;202;13;19;29;0;1346;"2023-09-01 13:11:00+02"
"AAA00353656109378739";3174;3181;3337;0;11924;4135;32066;45.7275;9.7127;291;3441;9839;39;0;22;21;22;37;0;1319;"2023-09-01 13:26:07+02"
"AAA00353656109378739";3231;3225;3368;0;11924;4122;31997;45.7275;9.7127;291;3536;9839;37;0;292;4;17;30;0;1264;"2023-09-01 13:41:14+02"
"AAA00353656109378739";3251;3237;3375;0;11924;4122;31893;45.7275;9.7127;291;3605;9838;38;0;292;10;42;74;0;1416;"2023-09-01 13:56:22+02"
"AAA00353656109378739";3288;3225;3362;0;11858;4122;31755;45.7275;9.7127;291;3079;9837;39;0;135;8;15;36;0;1186;"2023-09-01 14:11:29+02"
"AAA00353656109378739";3301;3206;3343;0;11858;4115;31720;45.7274;9.713;291;2863;9837;41;0;292;4;18;38;0;1114;"2023-09-01 14:26:33+02"
"AAA00353656109378739";3325;3168;3306;0;11924;4122;31651;45.7274;9.713;291;2830;9836;43;0;292;22;22;39;0;1188;"2023-09-01 14:41:41+02"
"AAA00353656109378739";3328;3131;3268;0;11924;4135;31617;45.7274;9.713;291;2794;9835;43;0;135;29;37;58;0;795;"2023-09-01 14:56:49+02"
"AAA00353656109378739";3341;3100;3237;0;11924;4122;31548;45.7274;9.713;291;2795;9835;44;0;67;16;29;58;0;885;"2023-09-01 15:11:56+02"
"AAA00353656109378739";3355;3068;3218;0;11924;4128;31513;45.7274;9.713;291;2811;9835;44;0;247;0;27;88;0;824;"2023-09-01 15:27:01+02"
"AAA00353656109378739";3353;3050;3181;0;11924;4115;31582;45.7274;9.713;291;2806;9834;45;0;292;34;28;60;0;847;"2023-09-01 15:42:08+02"
"AAA00353656109378739";3357;3025;3156;0;11924;4122;31513;45.7274;9.713;291;2789;9833;45;0;292;16;12;54;0;870;"2023-09-01 15:57:15+02"
"AAA00353656109378739";3368;3000;3131;0;11924;4122;31479;45.7274;9.713;291;2723;9832;45;0;247;2;14;46;0;926;"2023-09-01 16:12:23+02"
"AAA00353656109378739";3377;2993;3125;0;11924;4108;31513;45.7274;9.713;291;2725;9832;46;0;292;18;12;29;0;914;"2023-09-01 16:27:30+02"
"AAA00353656109378739";3375;2962;3093;0;11924;4115;31513;45.7274;9.713;291;2638;9832;46;0;292;45;39;88;0;854;"2023-09-01 16:42:38+02"
"AAA00353656109378739";3376;2943;3068;0;11924;4128;31444;45.7274;9.713;291;2638;9831;47;0;247;49;27;71;0;893;"2023-09-01 16:57:46+02"
"AAA00353656109378739";3382;2925;3050;0;11924;4122;31444;45.7274;9.713;291;2657;9832;48;0;135;0;15;74;0;789;"2023-09-01 17:12:54+02"
"AAA00353656109378739";3387;2918;3043;0;11924;4115;31479;45.7274;9.713;291;2683;9831;47;0;292;8;9;18;0;887;"2023-09-01 17:27:51+02"
"AAA00353656109378739";3377;2906;3025;0;11924;4135;31444;45.7274;9.713;291;2718;9831;47;0;292;0;4;20;0;700;"2023-09-01 17:42:58+02"
"AAA00353656109378739";3375;2893;3012;0;11924;4128;31479;45.7274;9.713;291;2677;9830;47;0;292;8;13;47;0;672;"2023-09-01 17:58:05+02"
"AAA00353656109378739";3371;2881;2993;0;11924;4128;31479;45.7274;9.713;291;2607;9830;47;0;292;4;9;22;0;732;"2023-09-01 18:13:13+02"
"AAA00353656109378739";3364;2862;2987;0;11924;4108;31444;45.7274;9.7129;291;2500;9829;48;0;0;0;3;17;0;780;"2023-09-01 18:28:15+02"
"AAA00353656109378739";3368;2843;2962;0;11924;4128;31444;45.7274;9.7129;291;2434;9830;49;0;0;0;3;10;0;730;"2023-09-01 18:43:21+02"
"AAA00353656109378739";3373;2831;2950;0;11924;4135;31375;45.7274;9.7129;291;2390;9830;50;0;0;0;0;0;0;818;"2023-09-01 18:58:28+02"
"AAA00353656109378739";3373;2818;2931;0;11924;4122;31340;45.7274;9.7129;291;2325;9830;51;0;0;0;0;0;0;1030;"2023-09-01 19:13:35+02"
"AAA00353656109378739";3362;2800;2931;0;11793;4108;31271;45.7274;9.7129;291;2264;9830;52;0;0;12;3;12;0;764;"2023-09-01 19:28:39+02"
"AAA00353656109378739";3361;2787;2900;0;11793;4115;31271;45.7274;9.7129;291;2212;9832;53;0;0;9;2;9;0;618;"2023-09-01 19:43:47+02"
"AAA00353656109378739";3367;2762;2881;0;11924;4115;31271;45.7274;9.7129;291;2129;9833;55;0;0;14;4;14;0;485;"2023-09-01 19:58:54+02"
"AAA00353656109378739";3367;2743;2856;0;11924;4149;31271;45.7274;9.7129;291;2080;9835;56;0;292;11;6;11;292;327;"2023-09-01 20:14:02+02"
"AAA00353656109378739";3362;2718;2843;0;11924;4122;31271;45.7274;9.7129;291;2040;9837;57;0;0;22;6;22;0;324;"2023-09-01 20:29:05+02"
"AAA00353656109378739";3362;2693;2818;0;11924;4108;31237;45.7274;9.7129;291;2008;9839;59;0;0;18;6;18;0;408;"2023-09-01 20:44:11+02"
"AAA00353656109378739";3360;2675;2793;0;11924;4115;31237;45.7274;9.7129;291;1981;9840;60;0;0;19;17;21;0;406;"2023-09-01 20:59:18+02"
"AAA00353656109378739";3371;2650;2768;0;11924;4122;31237;45.7274;9.7129;291;1947;9841;61;0;0;23;13;29;0;415;"2023-09-01 21:14:24+02"
"AAA00353656109378739";3352;2625;2756;0;11924;4115;31237;45.7274;9.7129;291;1927;9841;62;0;292;26;23;32;0;328;"2023-09-01 21:29:30+02"
"AAA00353656109378739";3356;2600;2725;0;11858;4122;31237;45.7274;9.7129;291;1926;9843;63;0;292;12;15;26;0;209;"2023-09-01 21:44:36+02"
"AAA00353656109378739";3341;2575;2700;0;11924;4122;31271;45.7274;9.7129;291;1911;9844;63;0;0;17;14;19;0;204;"2023-09-01 21:59:44+02"
"AAA00353656109378739";3344;2543;2675;0;11924;4115;31306;45.7274;9.7129;291;1886;9845;64;0;292;32;16;32;292;224;"2023-09-01 22:14:50+02"
"AAA00353656109378739";3342;2518;2662;0;11924;4128;31306;45.7274;9.7129;;1877;9846;64;0;22;4;15;25;0;245;"2023-09-01 22:29:51+02"
"AAA00353656109378739";3337;2487;2631;0;11924;4128;31375;45.7274;9.7129;;1859;9847;64;0;0;15;20;24;0;152;"2023-09-01 22:44:56+02"
"AAA00353656109378739";3325;2468;2606;0;11924;4128;31375;45.7274;9.7129;;1832;9848;65;0;337;6;13;20;0;159;"2023-09-01 23:00:02+02"
"AAA00353656109378739";3329;2443;2587;0;11793;4128;31409;45.7274;9.7129;;1822;9848;65;0;292;22;15;22;292;147;"2023-09-01 23:15:07+02"
"AAA00353656109378739";3328;2418;2662;0;11989;4101;31409;45.7275;9.7126;296;1801;9848;66;0;0;10;5;14;0;142;"2023-09-01 23:30:18+02"
"AAA00353656109378739";3320;2387;2556;0;11858;4128;31409;45.7275;9.7126;296;1832;9848;67;0;0;2;21;32;0;191;"2023-09-01 23:45:24+02"
"AAA00353656109378739";3293;2356;2518;0;11924;4122;31444;45.7275;9.7126;296;1819;9849;67;0;292;0;12;30;0;210;"2023-09-02 00:00:32+02"
"AAA00353656109378739";3297;2337;2487;0;11793;4142;31479;45.7275;9.7126;296;1770;9849;67;0;0;25;13;25;0;170;"2023-09-02 00:15:39+02"
"AAA00353656109378739";3291;2318;2475;0;11858;4135;31479;45.7275;9.7126;296;1750;9851;68;0;0;5;6;11;0;170;"2023-09-02 00:30:37+02"
