"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";3399;2581;2593;;;;;;0;12055;4292;34570;45.7275;9.7126;301;;;;;;;;;;66;"2023-08-01 00:05:55+02"
"AAA00354976091004203";3393;2568;2575;;;;;;0;12055;4299;34497;45.7275;9.7126;301;;;;;;;;;;65;"2023-08-01 00:21:01+02"
"AAA00354976091004203";3398;2562;2568;;;;;;0;12055;4292;34570;45.7275;9.7126;301;;;;;;;;;;49;"2023-08-01 00:36:06+02"
"AAA00354976091004203";3392;2556;2562;;;;;;0;12055;4292;34497;45.7275;9.7126;301;;;;;;;;;;56;"2023-08-01 00:51:12+02"
"AAA00354976091004203";3383;2531;2543;;;;;;0;12055;4292;34570;45.7275;9.7126;301;;;;;;;;;;30;"2023-08-01 01:06:18+02"
"AAA00354976091004203";3374;2512;2525;;;;;;0;12055;4292;34570;45.7275;9.7126;301;;;;;;;;;;37;"2023-08-01 01:21:24+02"
"AAA00354976091004203";3381;2500;2506;;;;;;0;12055;4292;34642;45.7275;9.7126;301;;;;;;;;;;34;"2023-08-01 01:36:29+02"
"AAA00354976091004203";3368;2493;2500;;;;;;0;12055;4292;34642;45.7275;9.7127;301;;;;;;;;;;32;"2023-08-01 01:51:32+02"
"AAA00354976091004203";3381;2487;2493;;;;;;0;12055;4292;34570;45.7275;9.7127;301;;;;;;;;;;36;"2023-08-01 02:06:37+02"
"AAA00354976091004203";3365;2475;2550;;;;;;0;12120;4292;34642;45.7275;9.7127;301;;;;;;;;;;31;"2023-08-01 02:21:44+02"
"AAA00354976091004203";3365;2468;2487;;;;;;0;12055;4292;34642;45.7275;9.7127;301;;;;;;;;;;37;"2023-08-01 02:36:50+02"
"AAA00354976091004203";3375;2462;2475;;;;;;0;12055;4292;34715;45.7275;9.7127;301;;;;;;;;;;23;"2023-08-01 02:51:54+02"
"AAA00354976091004203";3376;2450;2462;;;;;;0;12055;4299;34570;45.7275;9.7127;301;;;;;;;;;;34;"2023-08-01 03:06:59+02"
