"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";1820;531;606;;;;;;0;12055;4286;29325;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 00:00:48+01"
"AAA00354976091004203";1816;531;606;;;;;;0;12055;4286;29325;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 00:15:52+01"
"AAA00354976091004203";1809;531;687;;;;;;0;12120;4286;29398;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 00:30:56+01"
"AAA00354976091004203";1809;537;631;;;;;;0;12055;4292;29325;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 00:45:58+01"
"AAA00354976091004203";1811;537;612;;;;;;0;12055;4292;29398;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 01:01:02+01"
"AAA00354976091004203";1821;531;606;;;;;;0;12055;4292;29398;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 01:16:06+01"
"AAA00354976091004203";1814;531;606;;;;;;0;12055;4286;29398;45.7275;9.7127;304;;;;;;;;;;1;"2023-12-01 01:31:11+01"
"AAA00354976091004203";1803;531;612;;;;;;0;12055;4292;29325;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 01:46:11+01"
"AAA00354976091004203";1798;531;612;;;;;;0;12055;4292;29325;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 02:01:14+01"
"AAA00354976091004203";1813;531;606;;;;;;0;12055;4292;29398;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 02:16:18+01"
"AAA00354976091004203";1796;531;606;;;;;;0;12055;4292;29398;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 02:31:21+01"
"AAA00354976091004203";1804;531;612;;;;;;0;12055;4292;29398;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 02:46:25+01"
"AAA00354976091004203";1810;531;612;;;;;;0;12055;4292;29398;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 03:01:28+01"
"AAA00354976091004203";1814;531;612;;;;;;0;12055;4292;29325;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 03:16:33+01"
"AAA00354976091004203";1818;531;612;;;;;;0;12055;4292;29325;45.7275;9.7127;304;;;;;;;;;;0;"2023-12-01 03:31:36+01"
"AAA00354976091004203";1823;531;618;;;;;;0;12055;4292;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 03:46:41+01"
"AAA00354976091004203";1811;537;618;;;;;;0;12055;4292;29325;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 04:01:45+01"
"AAA00354976091004203";1806;531;618;;;;;;0;12055;4286;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 04:16:49+01"
"AAA00354976091004203";1815;543;700;;;;;;0;12120;4279;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 04:31:53+01"
"AAA00354976091004203";1825;543;637;;;;;;0;12055;4292;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 04:46:56+01"
"AAA00354976091004203";1802;543;625;;;;;;0;12055;4286;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 05:02:00+01"
"AAA00354976091004203";1837;537;618;;;;;;0;12055;4292;29471;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 05:17:04+01"
"AAA00354976091004203";1804;537;618;;;;;;0;12055;4292;29325;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 05:32:08+01"
"AAA00354976091004203";1826;537;625;;;;;;0;12055;4286;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 05:47:08+01"
"AAA00354976091004203";1814;537;618;;;;;;0;12055;4292;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 06:02:12+01"
"AAA00354976091004203";1800;537;618;;;;;;0;12055;4292;29325;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 06:17:16+01"
"AAA00354976091004203";1774;543;618;;;;;;0;12055;4292;29325;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 06:32:20+01"
"AAA00354976091004203";1782;543;625;;;;;;0;12055;4286;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 06:47:21+01"
"AAA00354976091004203";1799;543;625;;;;;;0;12055;4286;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 07:02:24+01"
"AAA00354976091004203";1802;543;625;;;;;;0;12055;4292;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 07:17:28+01"
"AAA00354976091004203";1805;543;625;;;;;;0;12055;4286;29398;45.7275;9.7127;294;;;;;;;;;;0;"2023-12-01 07:32:32+01"
"AAA00354976091004203";1832;550;631;;;;;;0;12055;4292;29398;45.7275;9.7126;295;;;;;;;;;;0;"2023-12-01 07:47:36+01"
