"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";2826;2087;2118;;;;;;0;12055;4292;27650;45.7275;9.7126;310;;;;;;;;;;9;"2023-06-01 00:03:26+02"
"AAA00354976091004203";2804;2081;2106;;;;;;0;12055;4292;27723;45.7275;9.7126;310;;;;;;;;;;3;"2023-06-01 00:18:31+02"
"AAA00354976091004203";2794;2062;2093;;;;;;0;12055;4292;27723;45.7275;9.7126;310;;;;;;;;;;4;"2023-06-01 00:33:36+02"
"AAA00354976091004203";2759;2043;2075;;;;;;0;12055;4292;27796;45.7275;9.7126;310;;;;;;;;;;9;"2023-06-01 00:48:41+02"
"AAA00354976091004203";2726;2037;2062;;;;;;0;12055;4292;27796;45.7275;9.7126;310;;;;;;;;;;0;"2023-06-01 01:03:49+02"
"AAA00354976091004203";2685;2018;2050;;;;;;0;12055;4292;27796;45.7275;9.7126;310;;;;;;;;;;5;"2023-06-01 01:18:54+02"
"AAA00354976091004203";2712;2000;2031;;;;;;0;12055;4292;27796;45.7275;9.7126;310;;;;;;;;;;4;"2023-06-01 01:33:59+02"
"AAA00354976091004203";2692;1987;2018;;;;;;0;12055;4292;27869;45.7275;9.7126;310;;;;;;;;;;1;"2023-06-01 01:49:05+02"
"AAA00354976091004203";2680;1975;2006;;;;;;0;12055;4299;27869;45.7275;9.7126;298;;;;;;;;;;5;"2023-06-01 02:04:10+02"
"AAA00354976091004203";2658;1968;2000;;;;;;0;12055;4292;27869;45.7275;9.7126;298;;;;;;;;;;1;"2023-06-01 02:19:15+02"
"AAA00354976091004203";2632;1950;1987;;;;;;0;12055;4299;27796;45.7275;9.7126;298;;;;;;;;;;2;"2023-06-01 02:34:20+02"
"AAA00354976091004203";2615;1943;2062;;;;;;0;12120;4286;27941;45.7275;9.7126;298;;;;;;;;;;18;"2023-06-01 02:49:25+02"
"AAA00354976091004203";2593;1937;1987;;;;;;0;12055;4292;27869;45.7275;9.7126;298;;;;;;;;;;9;"2023-06-01 03:04:27+02"
"AAA00354976091004203";2578;1918;1956;;;;;;0;12055;4286;27941;45.7275;9.7126;298;;;;;;;;;;1;"2023-06-01 03:19:32+02"
"AAA00354976091004203";2561;1906;1943;;;;;;0;12055;4299;27941;45.7275;9.7126;298;;;;;;;;;;2;"2023-06-01 03:34:39+02"
"AAA00354976091004203";2556;1893;1931;;;;;;0;12055;4292;28014;45.7275;9.7126;298;;;;;;;;;;1;"2023-06-01 03:49:44+02"
"AAA00354976091004203";2533;1881;1918;;;;;;0;12055;4292;28014;45.7275;9.7126;298;;;;;;;;;;0;"2023-06-01 04:04:47+02"
"AAA00354976091004203";2521;1868;1906;;;;;;0;12055;4292;28087;45.7275;9.7126;298;;;;;;;;;;2;"2023-06-01 04:19:52+02"
"AAA00354976091004203";2546;1850;1887;;;;;;0;12055;4299;28014;45.7275;9.7126;298;;;;;;;;;;4;"2023-06-01 04:34:57+02"
"AAA00354976091004203";2501;1843;1881;;;;;;0;12055;4299;28087;45.7275;9.7126;298;;;;;;;;;;4;"2023-06-01 04:50:01+02"
"AAA00354976091004203";2480;1831;1875;;;;;;0;12055;4292;28087;45.7275;9.7126;298;;;;;;;;;;3;"2023-06-01 05:05:12+02"
"AAA00354976091004203";2470;1818;1856;;;;;;0;12055;4292;28087;45.7275;9.7126;298;;;;;;;;;;0;"2023-06-01 05:20:18+02"
"AAA00354976091004203";2458;1806;1850;;;;;;0;12055;4292;28160;45.7275;9.7126;298;;;;;;;;;;1;"2023-06-01 05:35:23+02"
"AAA00354976091004203";2433;1793;1837;;;;;;0;12055;4299;28233;45.7275;9.7126;298;;;;;;;;;;20;"2023-06-01 05:50:29+02"
"AAA00354976091004203";2433;1787;1831;;;;;;0;12055;4299;28160;45.7275;9.7126;308;;;;;;;;;;46;"2023-06-01 06:05:33+02"
"AAA00354976091004203";2426;1781;1825;;;;;;0;12055;4299;28160;45.7275;9.7126;308;;;;;;;;;;28;"2023-06-01 06:20:38+02"
"AAA00354976091004203";2410;1775;1818;;;;;;0;12055;4292;28233;45.7275;9.7126;308;;;;;;;;;;39;"2023-06-01 06:35:44+02"
"AAA00354976091004203";2410;1768;1900;;;;;;0;12120;4292;28306;45.7275;9.7126;308;;;;;;;;;;38;"2023-06-01 06:50:48+02"
"AAA00354976091004203";2406;1768;1831;;;;;;0;12055;4292;28306;45.7275;9.7126;308;;;;;;;;;;34;"2023-06-01 07:05:52+02"
"AAA00354976091004203";2403;1768;1812;;;;;;0;12055;4292;28378;45.7275;9.7126;308;;;;;;;;;;72;"2023-06-01 07:20:57+02"
"AAA00354976091004203";2392;1762;1806;;;;;;0;12055;4292;28378;45.7275;9.7126;308;;;;;;;;;;57;"2023-06-01 07:36:02+02"
"AAA00354976091004203";2374;1762;1812;;;;;;0;12055;4292;28451;45.7275;9.7126;308;;;;;;;;;;48;"2023-06-01 07:51:07+02"
