"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";2324;2006;2050;;;;;;0;12055;4299;25756;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 00:11:19+02"
"AAA00354976091004203";2312;2000;2050;;;;;;0;12120;4286;25829;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 00:26:24+02"
"AAA00354976091004203";2303;1993;2037;;;;;;0;12055;4292;25902;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 00:41:29+02"
"AAA00354976091004203";2289;1987;2031;;;;;;0;12055;4292;25829;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 00:56:34+02"
"AAA00354976091004203";2277;1981;2025;;;;;;0;12055;4299;25902;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 01:11:39+02"
"AAA00354976091004203";2266;1975;2018;;;;;;0;12055;4299;25902;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 01:26:44+02"
"AAA00354976091004203";2264;1968;2012;;;;;;0;12055;4299;25829;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 01:41:49+02"
"AAA00354976091004203";2253;1962;2012;;;;;;0;12055;4299;25829;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 01:56:52+02"
"AAA00354976091004203";2244;1962;2000;;;;;;0;12055;4292;25756;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 02:11:58+02"
"AAA00354976091004203";2234;1950;1993;;;;;;0;12055;4292;25902;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 02:27:03+02"
"AAA00354976091004203";2228;1943;1987;;;;;;0;12055;4292;25902;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 02:42:07+02"
"AAA00354976091004203";2216;1943;1993;;;;;;0;12055;4299;25902;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 02:57:14+02"
"AAA00354976091004203";2212;1931;1981;;;;;;0;12055;4292;25829;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 03:12:19+02"
"AAA00354976091004203";2212;1931;1975;;;;;;0;12055;4299;25829;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 03:27:24+02"
"AAA00354976091004203";2209;1925;1975;;;;;;0;12055;4292;25902;45.7276;9.7126;294;;;;;;;;;;0;"2023-07-01 03:42:30+02"
