"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";3433;1787;1812;;;;;;0;12055;4292;34351;45.7275;9.7127;297;;;;;;;;;;25;"2023-05-01 00:13:08+02"
"AAA00354976091004203";3432;1787;1900;;;;;;0;12120;4286;34278;45.7275;9.7127;297;;;;;;;;;;27;"2023-05-01 00:28:13+02"
"AAA00354976091004203";3434;1787;1825;;;;;;0;12055;4299;34278;45.7275;9.7127;297;;;;;;;;;;45;"2023-05-01 00:43:17+02"
"AAA00354976091004203";3442;1781;1812;;;;;;0;12055;4292;34205;45.7275;9.7127;297;;;;;;;;;;42;"2023-05-01 00:58:30+02"
"AAA00354976091004203";3442;1775;1800;;;;;;0;12055;4292;34351;45.7275;9.7127;297;;;;;;;;;;25;"2023-05-01 01:13:35+02"
"AAA00354976091004203";3434;1762;1787;;;;;;0;12055;4292;34351;45.7275;9.7127;297;;;;;;;;;;38;"2023-05-01 01:28:39+02"
"AAA00354976091004203";3439;1762;1787;;;;;;0;12055;4299;34351;45.7275;9.7127;297;;;;;;;;;;53;"2023-05-01 01:43:43+02"
"AAA00354976091004203";3434;1743;1775;;;;;;0;12055;4292;34424;45.7275;9.7127;297;;;;;;;;;;28;"2023-05-01 01:59:02+02"
"AAA00354976091004203";3446;1743;1762;;;;;;0;12055;4299;34351;45.7275;9.7127;297;;;;;;;;;;28;"2023-05-01 02:14:09+02"
"AAA00354976091004203";3442;1737;1762;;;;;;0;12055;4299;34351;45.7275;9.7127;297;;;;;;;;;;29;"2023-05-01 02:29:15+02"
"AAA00354976091004203";3436;1737;1762;;;;;;0;12055;4299;34278;45.7275;9.7127;297;;;;;;;;;;25;"2023-05-01 02:44:21+02"
"AAA00354976091004203";3439;1737;1762;;;;;;0;12055;4299;34424;45.7275;9.7127;297;;;;;;;;;;35;"2023-05-01 02:59:28+02"
"AAA00354976091004203";3440;1725;1750;;;;;;0;12055;4292;34278;45.7275;9.7127;297;;;;;;;;;;37;"2023-05-01 03:14:32+02"
"AAA00354976091004203";3426;1712;1743;;;;;;0;12055;4292;34351;45.7275;9.7127;297;;;;;;;;;;38;"2023-05-01 03:29:37+02"
"AAA00354976091004203";3442;1706;1731;;;;;;0;12055;4299;34351;45.7275;9.7127;297;;;;;;;;;;15;"2023-05-01 03:44:42+02"
"AAA00354976091004203";3435;1700;1731;;;;;;0;12055;4292;34351;45.7275;9.7127;;;;;;;;;;;32;"2023-05-01 03:59:45+02"
"AAA00354976091004203";3451;1700;1718;;;;;;0;12055;4292;34351;45.7275;9.7127;;;;;;;;;;;42;"2023-05-01 04:14:49+02"
"AAA00354976091004203";3436;1700;1812;;;;;;0;12120;4279;34351;45.7275;9.7127;;;;;;;;;;;37;"2023-05-01 04:29:54+02"
"AAA00354976091004203";3446;1693;1731;;;;;;0;12055;4292;34278;45.7275;9.7127;;;;;;;;;;;26;"2023-05-01 04:44:58+02"
"AAA00354976091004203";3442;1681;1712;;;;;;0;12055;4292;34424;45.7275;9.7127;;;;;;;;;;;31;"2023-05-01 05:00:05+02"
"AAA00354976091004203";3434;1668;1700;;;;;;0;12055;4299;34278;45.7275;9.7127;;;;;;;;;;;33;"2023-05-01 05:15:11+02"
"AAA00354976091004203";3447;1656;1681;;;;;;0;12055;4299;34205;45.7275;9.7127;;;;;;;;;;;29;"2023-05-01 05:30:16+02"
"AAA00354976091004203";3448;1637;1668;;;;;;0;12055;4299;34205;45.7275;9.7127;;;;;;;;;;;45;"2023-05-01 05:45:21+02"
"AAA00354976091004203";3436;1631;1662;;;;;;0;12055;4299;34132;45.7275;9.7127;;;;;;;;;;;34;"2023-05-01 06:00:18+02"
