"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";3398;1200;1237;;;;;;0;12055;4286;25174;45.7275;9.7127;305;;;;;;;;;;0;"2023-11-01 00:00:42+01"
"AAA00354976091004203";3385;1187;1231;;;;;;0;12055;4286;25246;45.7275;9.7127;305;;;;;;;;;;0;"2023-11-01 00:15:48+01"
"AAA00354976091004203";3377;1175;1218;;;;;;0;12055;4292;25174;45.7275;9.7127;305;;;;;;;;;;0;"2023-11-01 00:30:52+01"
"AAA00354976091004203";3386;1168;1200;;;;;;0;12055;4292;25174;45.7275;9.7127;305;;;;;;;;;;0;"2023-11-01 00:45:58+01"
"AAA00354976091004203";3404;1162;1187;;;;;;0;12055;4286;25246;45.7275;9.7127;305;;;;;;;;;;1;"2023-11-01 01:01:02+01"
"AAA00354976091004203";3399;1143;1181;;;;;;0;12055;4292;25246;45.7275;9.7127;305;;;;;;;;;;0;"2023-11-01 01:16:02+01"
"AAA00354976091004203";3399;1131;1168;;;;;;0;12055;4292;25319;45.7275;9.7127;305;;;;;;;;;;0;"2023-11-01 01:31:06+01"
"AAA00354976091004203";3379;1118;1156;;;;;;0;12055;4286;25246;45.7275;9.7127;305;;;;;;;;;;0;"2023-11-01 01:46:10+01"
"AAA00354976091004203";3390;1106;1143;;;;;;0;12055;4292;25319;45.7275;9.7127;305;;;;;;;;;;0;"2023-11-01 02:01:15+01"
"AAA00354976091004203";3391;1093;1137;;;;;;0;12055;4292;25246;45.7275;9.7127;300;;;;;;;;;;0;"2023-11-01 02:16:30+01"
"AAA00354976091004203";3402;1081;1150;;;;;;0;12120;4286;25392;45.7275;9.7127;300;;;;;;;;;;0;"2023-11-01 02:31:34+01"
"AAA00354976091004203";3396;1075;1118;;;;;;0;12055;4286;25392;45.7275;9.7127;300;;;;;;;;;;0;"2023-11-01 02:46:38+01"
"AAA00354976091004203";3383;1068;1106;;;;;;0;12055;4286;25392;45.7275;9.7127;300;;;;;;;;;;0;"2023-11-01 03:01:42+01"
"AAA00354976091004203";3395;1062;1100;;;;;;0;12055;4286;25392;45.7275;9.7127;300;;;;;;;;;;0;"2023-11-01 03:16:50+01"
"AAA00354976091004203";3379;1050;1087;;;;;;0;12055;4286;25392;45.7275;9.7127;300;;;;;;;;;;0;"2023-11-01 03:31:55+01"
"AAA00354976091004203";3396;1037;1081;;;;;;0;12055;4292;25392;45.7275;9.7127;300;;;;;;;;;;0;"2023-11-01 03:46:59+01"
"AAA00354976091004203";3393;1025;1068;;;;;;0;12055;4292;25465;45.7275;9.7127;300;;;;;;;;;;0;"2023-11-01 04:02:04+01"
