"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";3423;2237;2237;;;;;;0;12055;4292;26266;45.7275;9.7126;299;;;;;;;;;;35;"2023-10-01 00:01:06+02"
"AAA00354976091004203";3425;2225;2218;;;;;;0;12055;4292;26266;45.7275;9.7126;299;;;;;;;;;;22;"2023-10-01 00:16:11+02"
"AAA00354976091004203";3394;2206;2206;;;;;;0;12055;4292;26412;45.7275;9.7126;299;;;;;;;;;;22;"2023-10-01 00:31:17+02"
"AAA00354976091004203";3416;2193;2187;;;;;;0;12055;4292;26412;45.7275;9.7126;299;;;;;;;;;;21;"2023-10-01 00:46:22+02"
"AAA00354976091004203";3411;2181;2187;;;;;;0;12055;4292;26412;45.7275;9.7127;308;;;;;;;;;;14;"2023-10-01 01:01:28+02"
"AAA00354976091004203";3413;2162;2162;;;;;;0;12055;4292;26485;45.7275;9.7127;308;;;;;;;;;;14;"2023-10-01 01:16:33+02"
"AAA00354976091004203";3413;2150;2150;;;;;;0;12055;4299;26485;45.7275;9.7127;308;;;;;;;;;;30;"2023-10-01 01:31:38+02"
"AAA00354976091004203";3405;2131;2187;;;;;;0;12120;4286;26485;45.7275;9.7127;308;;;;;;;;;;19;"2023-10-01 01:46:43+02"
"AAA00354976091004203";3409;2125;2143;;;;;;0;12055;4292;26557;45.7275;9.7127;308;;;;;;;;;;12;"2023-10-01 02:01:49+02"
"AAA00354976091004203";3406;2106;2112;;;;;;0;12055;4292;26557;45.7275;9.7127;308;;;;;;;;;;10;"2023-10-01 02:16:56+02"
"AAA00354976091004203";3414;2093;2100;;;;;;0;12055;4292;26630;45.7275;9.7127;308;;;;;;;;;;10;"2023-10-01 02:32:01+02"
