"hive";"internal";"external";"board";"temp1";"temp2";"temp3";"temp4";"temp5";"operational";"panel";"cell";"weight";"latitude";"longitude";"altitude";"temperature";"pressure";"humidity";"rain_level";"wind_direction";"wind_speed";"wind_speed_mean";"wind_speed_max";"wind_direction_at_max_speed";"flow";"date"
"AAA00354976091004203";3168;2193;2206;;;;;;0;12055;4292;33331;45.7275;9.7127;304;;;;;;;;;;3;"2023-09-01 00:05:08+02"
"AAA00354976091004203";3137;2187;2281;;;;;;0;12120;4286;33331;45.7275;9.7127;304;;;;;;;;;;1;"2023-09-01 00:20:14+02"
"AAA00354976091004203";3105;2175;2206;;;;;;0;12055;4292;33258;45.7275;9.7127;304;;;;;;;;;;0;"2023-09-01 00:35:20+02"
"AAA00354976091004203";3103;2156;2175;;;;;;0;12055;4292;33331;45.7275;9.7127;304;;;;;;;;;;2;"2023-09-01 00:50:24+02"
"AAA00354976091004203";3128;2137;2156;;;;;;0;12055;4292;33331;45.7275;9.7127;304;;;;;;;;;;1;"2023-09-01 01:05:29+02"
"AAA00354976091004203";3128;2118;2137;;;;;;0;12055;4292;33258;45.7275;9.7127;304;;;;;;;;;;4;"2023-09-01 01:20:35+02"
"AAA00354976091004203";3111;2106;2125;;;;;;0;12055;4292;33331;45.7275;9.7127;304;;;;;;;;;;2;"2023-09-01 01:35:43+02"
"AAA00354976091004203";3098;2087;2106;;;;;;0;12055;4292;33331;45.7275;9.7127;304;;;;;;;;;;0;"2023-09-01 01:50:48+02"
"AAA00354976091004203";3114;2068;2093;;;;;;0;12055;4292;33331;45.7275;9.7127;304;;;;;;;;;;1;"2023-09-01 02:05:54+02"
"AAA00354976091004203";3124;2056;2075;;;;;;0;12055;4292;33331;45.7275;9.7127;304;;;;;;;;;;0;"2023-09-01 02:20:59+02"
"AAA00354976091004203";3118;2037;2068;;;;;;0;12055;4292;33331;45.7275;9.7127;304;;;;;;;;;;0;"2023-09-01 02:35:59+02"
"AAA00354976091004203";3097;2025;2050;;;;;;0;12055;4292;33258;45.7275;9.7127;304;;;;;;;;;;0;"2023-09-01 02:51:04+02"
"AAA00354976091004203";3097;2012;2037;;;;;;0;12055;4286;33331;45.7275;9.7127;304;;;;;;;;;;0;"2023-09-01 03:06:09+02"
"AAA00354976091004203";3085;2000;2018;;;;;;0;12055;4292;33258;45.7275;9.7127;304;;;;;;;;;;0;"2023-09-01 03:21:13+02"
"AAA00354976091004203";3082;1981;2012;;;;;;0;12055;4292;33331;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 03:36:18+02"
"AAA00354976091004203";3114;1975;1993;;;;;;0;12055;4292;33331;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 03:51:23+02"
"AAA00354976091004203";3115;1956;1981;;;;;;0;12055;4292;33331;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 04:06:30+02"
"AAA00354976091004203";3103;1943;2056;;;;;;0;12120;4286;33258;45.7275;9.7127;301;;;;;;;;;;1;"2023-09-01 04:21:35+02"
"AAA00354976091004203";3100;1931;1975;;;;;;0;12055;4292;33404;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 04:36:39+02"
"AAA00354976091004203";3106;1918;1943;;;;;;0;12055;4292;33331;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 04:51:44+02"
"AAA00354976091004203";3096;1900;1931;;;;;;0;12055;4292;33404;45.7275;9.7127;301;;;;;;;;;;1;"2023-09-01 05:06:49+02"
"AAA00354976091004203";3096;1887;1918;;;;;;0;12055;4292;33331;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 05:21:54+02"
"AAA00354976091004203";3161;1875;1906;;;;;;0;12055;4292;33404;45.7275;9.7127;301;;;;;;;;;;1;"2023-09-01 05:37:00+02"
"AAA00354976091004203";3088;1862;1893;;;;;;0;12055;4292;33477;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 05:52:05+02"
"AAA00354976091004203";3093;1856;1881;;;;;;0;12055;4292;33404;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 06:07:10+02"
"AAA00354976091004203";3095;1843;1875;;;;;;0;12055;4286;33477;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 06:22:15+02"
"AAA00354976091004203";3109;1837;1868;;;;;;0;12055;4286;33550;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 06:37:15+02"
"AAA00354976091004203";3083;1825;1856;;;;;;0;12055;4292;33477;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 06:52:20+02"
"AAA00354976091004203";3062;1818;1850;;;;;;0;12055;4292;33477;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 07:07:26+02"
"AAA00354976091004203";3062;1812;1843;;;;;;0;12055;4299;33477;45.7275;9.7127;301;;;;;;;;;;0;"2023-09-01 07:22:30+02"
"AAA00354976091004203";3055;1812;1843;;;;;;0;12055;4292;33623;45.7275;9.7127;;;;;;;;;;;0;"2023-09-01 07:37:35+02"
